Alloy name,Ag,Al,B,C,Ca,Co,Cr,Cu,Fe,Ga,Hf,Li,Mg,Mn,Mo,Nb,Nd,Ni,Pd,Re,Sc,Si,Sn,Ta,Ti,V,W,Y,Zn,Zr
Co1 Cu1 Fe1 Ni1 Sn0.02,,,,,,0.249,,0.249,0.249,,,,,,,,,0.249,,,,,0.005,,,,,,,
Co1 Cu1 Fe1 Ni1 Sn0.04,,,,,,0.248,,0.248,0.248,,,,,,,,,0.248,,,,,0.01,,,,,,,
Co1 Cu1 Fe1 Ni1 Sn0.05,,,,,,0.247,,0.247,0.247,,,,,,,,,0.247,,,,,0.012,,,,,,,
Co1 Cu1 Fe1 Ni1 Sn0.07,,,,,,0.246,,0.246,0.246,,,,,,,,,0.246,,,,,0.017,,,,,,,
Co1 Cu1 Fe1 Ni1 Sn0.1,,,,,,0.244,,0.244,0.244,,,,,,,,,0.244,,,,,0.024,,,,,,,
Co1 Cu1 Fe1 Ni1 Sn0.2,,,,,,0.238,,0.238,0.238,,,,,,,,,0.238,,,,,0.048,,,,,,,
Co1 Cu1 Fe1 Ni1 Sn0.5,,,,,,0.222,,0.222,0.222,,,,,,,,,0.222,,,,,0.111,,,,,,,
Co1 Cu1 Fe1 Mn1 Ni1,,,,,,0.2,,0.2,0.2,,,,,0.2,,,,0.2,,,,,,,,,,,,
Co1 Cu1 Fe1 Mn1 Ni1 Sn0.03,,,,,,0.199,,0.199,0.199,,,,,0.199,,,,0.199,,,,,0.006,,,,,,,
Co1 Cu1 Fe1 Mn1 Ni1 Sn0.05,,,,,,0.198,,0.198,0.198,,,,,0.198,,,,0.198,,,,,0.01,,,,,,,
Co1 Cu1 Fe1 Mn1 Ni1 Sn0.08,,,,,,0.197,,0.197,0.197,,,,,0.197,,,,0.197,,,,,0.016,,,,,,,
Co1 Cu1 Fe1 Mn1 Ni1 Sn0.1,,,,,,0.196,,0.196,0.196,,,,,0.196,,,,0.196,,,,,0.02,,,,,,,
Co1 Cu1 Fe1 Mn1 Ni1 Sn0.2,,,,,,0.192,,0.192,0.192,,,,,0.192,,,,0.192,,,,,0.038,,,,,,,
Al1 Cr1 Cu1 Fe1 Ni0.6,,0.217,,,,,0.217,0.217,0.217,,,,,,,,,0.13,,,,,,,,,,,,
Al1 Cr1 Cu1 Fe1 Ni0.8,,0.208,,,,,0.208,0.208,0.208,,,,,,,,,0.167,,,,,,,,,,,,
Al0.833 Cr0.833 Cu0.833 Fe0.833 Ni1,,0.192,,,,,0.192,0.192,0.192,,,,,,,,,0.231,,,,,,,,,,,,
Al0.714 Cr0.714 Cu0.714 Fe0.714 Ni1,,0.185,,,,,0.185,0.185,0.185,,,,,,,,,0.259,,,,,,,,,,,,
Al0.1 Cr0.5 Cu0.5 Fe0.5 Ni1,,0.038,,,,,0.192,0.192,0.192,,,,,,,,,0.385,,,,,,,,,,,,
Al0.2 Cr0.5 Cu0.5 Fe0.5 Ni1,,0.074,,,,,0.185,0.185,0.185,,,,,,,,,0.37,,,,,,,,,,,,
Al0.3 Cr0.5 Cu0.5 Fe0.5 Ni1,,0.107,,,,,0.179,0.179,0.179,,,,,,,,,0.357,,,,,,,,,,,,
Al0.4 Cr0.5 Cu0.5 Fe0.5 Ni1,,0.138,,,,,0.172,0.172,0.172,,,,,,,,,0.345,,,,,,,,,,,,
Al0.6 Cr0.5 Cu0.5 Fe0.5 Ni1,,0.194,,,,,0.161,0.161,0.161,,,,,,,,,0.323,,,,,,,,,,,,
Al0.5 Cr0.5 Cu0.5 Fe0.5 Ni1,,0.167,,,,,0.167,0.167,0.167,,,,,,,,,0.333,,,,,,,,,,,,
Al1 Cr1 Cu1 Fe1 Ni1 Ti1,,0.167,,,,,0.167,0.167,0.167,,,,,,,,,0.167,,,,,,,0.167,,,,,
Al1 Cu0.889 Fe0.667 Ni0.889 Ti1,,0.225,,,,,,0.2,0.15,,,,,,,,,0.2,,,,,,,0.225,,,,,
Al1 Cu1 Fe1 Ni1 Ti1,,0.2,,,,,,0.2,0.2,,,,,,,,,0.2,,,,,,,0.2,,,,,
Al1 Cu1 Ni1 Ti1,,0.25,,,,,,0.25,,,,,,,,,,0.25,,,,,,,0.25,,,,,
Al1 Cu0.062 Li0.062 Mg0.062 Zn0.062,,0.801,,,,,,0.05,,,,0.05,0.05,,,,,,,,,,,,,,,,0.05,
Al1 Li0.062 Mg0.062 Sn0.062 Zn0.062,,0.801,,,,,,,,,,0.05,0.05,,,,,,,,,,0.05,,,,,,0.05,
Al1 Cu0.2 Li0.5 Mg1 Zn0.5,,0.312,,,,,,0.062,,,,0.156,0.312,,,,,,,,,,,,,,,,0.156,
Al1 Cu0.5 Li0.5 Mg1 Sn0.2,,0.312,,,,,,0.156,,,,0.156,0.312,,,,,,,,,,0.062,,,,,,,
Al1 Li0.5 Mg1 Sn0.2 Zn0.5,,0.312,,,,,,,,,,0.156,0.312,,,,,,,,,,0.062,,,,,,0.156,
Al1 Li1 Mg1 Sn1 Zn1,,0.2,,,,,,,,,,0.2,0.2,,,,,,,,,,0.2,,,,,,0.2,
Al0.667 Li0.667 Mg0.333 Sc0.667 Ti1,,0.2,,,,,,,,,,0.2,0.1,,,,,,,,0.2,,,,0.3,,,,,
Al0.214 Nb0.714 Ta0.571 Ti1 V0.143 Zr0.929,,0.06,,,,,,,,,,,,,,0.2,,,,,,,,0.16,0.28,0.04,,,,0.26
Al0.214 Nb0.714 Ta0.714 Ti1 Zr0.929,,0.06,,,,,,,,,,,,,,0.2,,,,,,,,0.2,0.28,,,,,0.26
Al0.4 Hf0.6 Nb1 Ta1 Ti1 Zr1,,0.08,,,,,,,,,0.12,,,,,0.2,,,,,,,,0.2,0.2,,,,,0.2
Al0.333 Nb0.667 Ta0.533 Ti1 V0.133 Zr0.667,,0.1,,,,,,,,,,,,,,0.2,,,,,,,,0.16,0.3,0.04,,,,0.2
Al1 Mo0.5 Nb1 Ta0.5 Ti1 Zr1,,0.2,,,,,,,,,,,,,0.1,0.2,,,,,,,,0.1,0.2,,,,,0.2
Al0.667 Nb1 Ta0.333 Ti1 Zr0.333,,0.2,,,,,,,,,,,,,,0.3,,,,,,,,0.1,0.3,,,,,0.1
Al0.3 Hf1 Nb1 Ta1 Ti1 Zr1,,0.057,,,,,,,,,0.189,,,,,0.189,,,,,,,,0.189,0.189,,,,,0.189
Al0.5 Hf1 Nb1 Ta1 Ti1 Zr1,,0.091,,,,,,,,,0.182,,,,,0.182,,,,,,,,0.182,0.182,,,,,0.182
Al0.75 Hf1 Nb1 Ta1 Ti1 Zr1,,0.13,,,,,,,,,0.174,,,,,0.174,,,,,,,,0.174,0.174,,,,,0.174
Al1 Hf1 Nb1 Ta1 Ti1 Zr1,,0.167,,,,,,,,,0.167,,,,,0.167,,,,,,,,0.167,0.167,,,,,0.167
Hf1 Nb1 Ta1 Ti1 Zr1,,,,,,,,,,,0.2,,,,,0.2,,,,,,,,0.2,0.2,,,,,0.2
Al0.25 Mo1 Nb1 Ti1 V1,,0.059,,,,,,,,,,,,,0.235,0.235,,,,,,,,,0.235,0.235,,,,
Al0.5 Mo1 Nb1 Ti1 V1,,0.111,,,,,,,,,,,,,0.222,0.222,,,,,,,,,0.222,0.222,,,,
Al0.75 Mo1 Nb1 Ti1 V1,,0.158,,,,,,,,,,,,,0.211,0.211,,,,,,,,,0.211,0.211,,,,
Al1 Mo1 Nb1 Ti1 V1,,0.2,,,,,,,,,,,,,0.2,0.2,,,,,,,,,0.2,0.2,,,,
Mo1 Nb1 Ti1 V1,,,,,,,,,,,,,,,0.25,0.25,,,,,,,,,0.25,0.25,,,,
Al0.25 Nb1 Ta1 Ti1 V1,,0.059,,,,,,,,,,,,,,0.235,,,,,,,,0.235,0.235,0.235,,,,
Al0.5 Nb1 Ta1 Ti1 V1,,0.111,,,,,,,,,,,,,,0.222,,,,,,,,0.222,0.222,0.222,,,,
Al1 Nb1 Ta1 Ti1 V1,,0.2,,,,,,,,,,,,,,0.2,,,,,,,,0.2,0.2,0.2,,,,
Nb1 Ta1 Ti1 V1,,,,,,,,,,,,,,,,0.25,,,,,,,,0.25,0.25,0.25,,,,
Al1 Nb1 Ti1 V1,,0.25,,,,,,,,,,,,,,0.25,,,,,,,,,0.25,0.25,,,,
Cr1 Mo0.5 Nb1 Ta0.5 Ti1 Zr1,,,,,,,0.2,,,,,,,,0.1,0.2,,,,,,,,0.1,0.2,,,,,0.2
Cr1 Nb1 Ti1 V1 Zr1,,,,,,,0.2,,,,,,,,,0.2,,,,,,,,,0.2,0.2,,,,0.2
Cr1 Nb1 Ti1 Zr1,,,,,,,0.25,,,,,,,,,0.25,,,,,,,,,0.25,,,,,0.25
Nb0.5 Ti0.5 V1 Zr0.5,,,,,,,,,,,,,,,,0.2,,,,,,,,,0.2,0.4,,,,0.2
Nb1 Ti1 V1 Zr1,,,,,,,,,,,,,,,,0.25,,,,,,,,,0.25,0.25,,,,0.25
Hf0.5 Mo0.5 Nb1 Ti1 Zr1,,,,,,,,,,,0.125,,,,0.125,0.25,,,,,,,,,0.25,,,,,0.25
C0.1 Hf0.5 Mo0.5 Nb1 Ti1 Zr1,,,,0.024,,,,,,,0.122,,,,0.122,0.244,,,,,,,,,0.244,,,,,0.244
C0.3 Hf0.5 Mo0.5 Nb1 Ti1 Zr1,,,,0.07,,,,,,,0.116,,,,0.116,0.233,,,,,,,,,0.233,,,,,0.233
Hf1 Mo0.25 Nb1 Ta1 Ti1 Zr1,,,,,,,,,,,0.19,,,,0.048,0.19,,,,,,,,0.19,0.19,,,,,0.19
Hf1 Mo0.5 Nb1 Ta1 Ti1 Zr1,,,,,,,,,,,0.182,,,,0.091,0.182,,,,,,,,0.182,0.182,,,,,0.182
Hf1 Mo0.75 Nb1 Ta1 Ti1 Zr1,,,,,,,,,,,0.174,,,,0.13,0.174,,,,,,,,0.174,0.174,,,,,0.174
Hf1 Mo1 Nb1 Ta1 Ti1 Zr1,,,,,,,,,,,0.167,,,,0.167,0.167,,,,,,,,0.167,0.167,,,,,0.167
Hf1 Mo1 Ta1 Ti1 Zr1,,,,,,,,,,,0.2,,,,0.2,,,,,,,,,0.2,0.2,,,,,0.2
Hf1 Mo1 Nb1 Ti1 Zr1,,,,,,,,,,,0.2,,,,0.2,0.2,,,,,,,,,0.2,,,,,0.2
Hf1 Nb1 Si0.5 Ti1 V1,,,,,,,,,,,0.222,,,,,0.222,,,,,,0.111,,,0.222,0.222,,,,
Hf0.333 Nb0.333 Ta0.333 Ti1 Zr0.667,,,,,,,,,,,0.125,,,,,0.125,,,,,,,,0.125,0.375,,,,,0.25
Hf1 Nb1 Ti1 Zr1,,,,,,,,,,,0.25,,,,,0.25,,,,,,,,,0.25,,,,,0.25
Mo1 Nb1 Ta1 V1,,,,,,,,,,,,,,,0.25,0.25,,,,,,,,0.25,,0.25,,,,
Mo1 Nb1 Ta1 V1 W1,,,,,,,,,,,,,,,0.2,0.2,,,,,,,,0.2,,0.2,0.2,,,
Mo1 Nb1 Ta1 W1,,,,,,,,,,,,,,,0.25,0.25,,,,,,,,0.25,,,0.25,,,
Mo0.3 Nb1 Ti1 V1 Zr1,,,,,,,,,,,,,,,0.07,0.233,,,,,,,,,0.233,0.233,,,,0.233
Mo0.5 Nb1 Ti1 V1 Zr1,,,,,,,,,,,,,,,0.111,0.222,,,,,,,,,0.222,0.222,,,,0.222
Mo0.7 Nb1 Ti1 V1 Zr1,,,,,,,,,,,,,,,0.149,0.213,,,,,,,,,0.213,0.213,,,,0.213
Mo1 Nb0.769 Ti0.769 V0.769 Zr0.769,,,,,,,,,,,,,,,0.245,0.189,,,,,,,,,0.189,0.189,,,,0.189
Mo1 Nb0.667 Ti0.667 V0.667 Zr0.667,,,,,,,,,,,,,,,0.273,0.182,,,,,,,,,0.182,0.182,,,,0.182
Mo1 Nb0.588 Ti0.588 V0.588 Zr0.588,,,,,,,,,,,,,,,0.298,0.175,,,,,,,,,0.175,0.175,,,,0.175
Mo1 Nb0.5 Ti0.5 V0.5 Zr0.5,,,,,,,,,,,,,,,0.333,0.167,,,,,,,,,0.167,0.167,,,,0.167
Mo1 Nb1 Ti1 V1 Zr1,,,,,,,,,,,,,,,0.2,0.2,,,,,,,,,0.2,0.2,,,,0.2
Mo1 Nb1 Ti1 V0.3 Zr1,,,,,,,,,,,,,,,0.233,0.233,,,,,,,,,0.233,0.07,,,,0.233
Mo0.1 Nb1 Ti1 V0.3 Zr1,,,,,,,,,,,,,,,0.029,0.294,,,,,,,,,0.294,0.088,,,,0.294
Mo0.3 Nb1 Ti1 V0.3 Zr1,,,,,,,,,,,,,,,0.083,0.278,,,,,,,,,0.278,0.083,,,,0.278
Mo0.5 Nb1 Ti1 V0.3 Zr1,,,,,,,,,,,,,,,0.132,0.263,,,,,,,,,0.263,0.079,,,,0.263
Mo0.7 Nb1 Ti1 V0.3 Zr1,,,,,,,,,,,,,,,0.175,0.25,,,,,,,,,0.25,0.075,,,,0.25
Mo1 Nb0.769 Ti0.769 V0.231 Zr0.769,,,,,,,,,,,,,,,0.283,0.217,,,,,,,,,0.217,0.065,,,,0.217
Mo1 Nb0.667 Ti0.667 V0.2 Zr0.667,,,,,,,,,,,,,,,0.312,0.208,,,,,,,,,0.208,0.062,,,,0.208
Nb1 Ti1 V0.3 Zr1,,,,,,,,,,,,,,,,0.303,,,,,,,,,0.303,0.091,,,,0.303
Mo1 Nb1 Ti1 V0.25 Zr1,,,,,,,,,,,,,,,0.235,0.235,,,,,,,,,0.235,0.059,,,,0.235
Mo1 Nb1 Ti1 V0.5 Zr1,,,,,,,,,,,,,,,0.222,0.222,,,,,,,,,0.222,0.111,,,,0.222
Mo1 Nb1 Ti1 V0.75 Zr1,,,,,,,,,,,,,,,0.211,0.211,,,,,,,,,0.211,0.158,,,,0.211
Mo0.667 Nb0.667 Ti0.667 V1 Zr0.667,,,,,,,,,,,,,,,0.182,0.182,,,,,,,,,0.182,0.273,,,,0.182
Mo0.5 Nb0.5 Ti0.5 V1 Zr0.5,,,,,,,,,,,,,,,0.167,0.167,,,,,,,,,0.167,0.333,,,,0.167
Mo0.333 Nb0.333 Ti0.333 V1 Zr0.333,,,,,,,,,,,,,,,0.143,0.143,,,,,,,,,0.143,0.429,,,,0.143
Mo1 Nb1 Ti1 Zr1,,,,,,,,,,,,,,,0.25,0.25,,,,,,,,,0.25,,,,,0.25
Co1 Fe1 Mo0.2 Ni1 V1,,,,,,0.238,,,0.238,,,,,,0.048,,,0.238,,,,,,,,0.238,,,,
Co1 Fe1 Mo0.4 Ni1 V1,,,,,,0.227,,,0.227,,,,,,0.091,,,0.227,,,,,,,,0.227,,,,
Co1 Fe1 Mo0.6 Ni1 V1,,,,,,0.217,,,0.217,,,,,,0.13,,,0.217,,,,,,,,0.217,,,,
Co1 Fe1 Mo0.8 Ni1 V1,,,,,,0.208,,,0.208,,,,,,0.167,,,0.208,,,,,,,,0.208,,,,
Co0.833 Fe0.833 Mo0.833 Ni1 V0.833,,,,,,0.192,,,0.192,,,,,,0.192,,,0.231,,,,,,,,0.192,,,,
Co0.714 Fe0.714 Mo0.714 Ni1 V0.714,,,,,,0.185,,,0.185,,,,,,0.185,,,0.259,,,,,,,,0.185,,,,
Co0.625 Fe0.625 Mo0.625 Ni1 V0.625,,,,,,0.179,,,0.179,,,,,,0.179,,,0.286,,,,,,,,0.179,,,,
Co0.556 Fe0.556 Mo0.556 Ni1 V0.556,,,,,,0.172,,,0.172,,,,,,0.172,,,0.31,,,,,,,,0.172,,,,
Co0.5 Fe0.5 Mo0.5 Ni1 V0.5,,,,,,0.167,,,0.167,,,,,,0.167,,,0.333,,,,,,,,0.167,,,,
Co1 Fe1 Mo1 Ni1 V1,,,,,,0.2,,,0.2,,,,,,0.2,,,0.2,,,,,,,,0.2,,,,
Co1 Fe1 Ni1 V1,,,,,,0.25,,,0.25,,,,,,,,,0.25,,,,,,,,0.25,,,,
Al0.125 Co1 Cr1 Cu1 Fe1 Mn1 Ni1 Ti1 V1,,0.015,,,,0.123,0.123,0.123,0.123,,,,,0.123,,,,0.123,,,,,,,0.123,0.123,,,,
Al0.25 Co1 Cr1 Cu1 Fe1 Mn1 Ni1 Ti1 V1,,0.03,,,,0.121,0.121,0.121,0.121,,,,,0.121,,,,0.121,,,,,,,0.121,0.121,,,,
Al0.667 Co1 Cr1 Cu1 Fe1 Mn1 Ni1 Ti1 V1,,0.077,,,,0.115,0.115,0.115,0.115,,,,,0.115,,,,0.115,,,,,,,0.115,0.115,,,,
Co1 Cr1 Cu1 Fe1 Mn1 Ni1 Ti1 V1,,,,,,0.125,0.125,0.125,0.125,,,,,0.125,,,,0.125,,,,,,,0.125,0.125,,,,
Cu1 Mn1 Ni1 Zn0.333,,,,,,,,0.3,,,,,,0.3,,,,0.3,,,,,,,,,,,0.1,
Cu1 Mn1 Ni1 Zn0.25,,,,,,,,0.308,,,,,,0.308,,,,0.308,,,,,,,,,,,0.077,
Al0.111 Cu1 Mn1 Ni1,,0.036,,,,,,0.321,,,,,,0.321,,,,0.321,,,,,,,,,,,,
Cu1 Mn1 Ni1 Sn0.111,,,,,,,,0.321,,,,,,0.321,,,,0.321,,,,,0.036,,,,,,,
Al0.053 Cu1 Mn1 Ni1,,0.017,,,,,,0.328,,,,,,0.328,,,,0.328,,,,,,,,,,,,
Cu1 Mn1 Ni1 Sn0.053,,,,,,,,0.328,,,,,,0.328,,,,0.328,,,,,0.017,,,,,,,
Al1 Co0.5 Cr0.5 Cu0.5 Fe0.5 Ni0.5,,0.286,,,,0.143,0.143,0.143,0.143,,,,,,,,,0.143,,,,,,,,,,,,
Al1 Cr1 Mo1 Nb1 Ti1,,0.2,,,,,0.2,,,,,,,,0.2,0.2,,,,,,,,,0.2,,,,,
Al1 Cr1 Mo1 Ti1,,0.25,,,,,0.25,,,,,,,,0.25,,,,,,,,,,0.25,,,,,
Al1 Mo1 Nb1 Ti1,,0.25,,,,,,,,,,,,,0.25,0.25,,,,,,,,,0.25,,,,,
Al1 Nb1 Ti1 V1 Zr1,,0.2,,,,,,,,,,,,,,0.2,,,,,,,,,0.2,0.2,,,,0.2
Al1 Nb1 Ti1 V1 Zr0.1,,0.244,,,,,,,,,,,,,,0.244,,,,,,,,,0.244,0.244,,,,0.024
Al1 Nb1 Ti1 V1 Zr0.25,,0.235,,,,,,,,,,,,,,0.235,,,,,,,,,0.235,0.235,,,,0.059
Al1 Nb1 Ti1 V1 Zr0.5,,0.222,,,,,,,,,,,,,,0.222,,,,,,,,,0.222,0.222,,,,0.111
Al0.667 Nb0.667 Ti0.667 V0.667 Zr1,,0.182,,,,,,,,,,,,,,0.182,,,,,,,,,0.182,0.182,,,,0.273
Co1 Cr1 Mo1 Nb1,,,,,,0.25,0.25,,,,,,,,0.25,0.25,,,,,,,,,,,,,,
Co1 Cr1 Mo1 Nb1 Ti1,,,,,,0.2,0.2,,,,,,,,0.2,0.2,,,,,,,,,0.2,,,,,
Co1 Cr1 Mo1 Nb1 Ti0.2,,,,,,0.238,0.238,,,,,,,,0.238,0.238,,,,,,,,,0.048,,,,,
Co1 Cr1 Mo1 Nb1 Ti0.4,,,,,,0.227,0.227,,,,,,,,0.227,0.227,,,,,,,,,0.091,,,,,
Co1 Cr1 Mo1 Nb1 Ti0.5,,,,,,0.222,0.222,,,,,,,,0.222,0.222,,,,,,,,,0.111,,,,,
Cr1 Hf1 Nb1 Ti1 Zr1,,,,,,,0.2,,,,0.2,,,,,0.2,,,,,,,,,0.2,,,,,0.2
Hf1 Nb1 Ti1 V1 Zr1,,,,,,,,,,,0.2,,,,,0.2,,,,,,,,,0.2,0.2,,,,0.2
Cr1 Ta1 Ti0.17 V1 W1,,,,,,,0.24,,,,,,,,,,,,,,,,,0.24,0.041,0.24,0.24,,,
Cr1 Ta1 Ti0.3 V1 W1,,,,,,,0.233,,,,,,,,,,,,,,,,,0.233,0.07,0.233,0.233,,,
Cr1 Ta1 V1 W1,,,,,,,0.25,,,,,,,,,,,,,,,,,0.25,,0.25,0.25,,,
Hf0.26 Nb1 Ta1 Ti0.578 Zr0.416,,,,,,,,,,,0.08,,,,,0.307,,,,,,,,0.307,0.178,,,,,0.128
Hf0.5 Mo0.5 Nb1 Si0.1 Ti1 Zr1,,,,,,,,,,,0.122,,,,0.122,0.244,,,,,,0.024,,,0.244,,,,,0.244
Hf0.5 Mo0.5 Nb1 Si0.3 Ti1 Zr1,,,,,,,,,,,0.116,,,,0.116,0.233,,,,,,0.07,,,0.233,,,,,0.233
Hf0.5 Mo0.5 Nb1 Si0.5 Ti1 Zr1,,,,,,,,,,,0.111,,,,0.111,0.222,,,,,,0.111,,,0.222,,,,,0.222
Hf0.5 Mo0.5 Nb1 Si0.7 Ti1 Zr1,,,,,,,,,,,0.106,,,,0.106,0.213,,,,,,0.149,,,0.213,,,,,0.213
Hf0.5 Mo0.5 Nb1 Si0.9 Ti1 Zr1,,,,,,,,,,,0.102,,,,0.102,0.204,,,,,,0.184,,,0.204,,,,,0.204
Hf0.5 Nb0.667 Ta0.333 Ti1 Zr0.833,,,,,,,,,,,0.15,,,,,0.2,,,,,,,,0.1,0.3,,,,,0.25
Hf1 Mo0.5 Nb1 Si0.3 Ti1 V0.5,,,,,,,,,,,0.233,,,,0.116,0.233,,,,,,0.07,,,0.233,0.116,,,,
Hf1 Mo0.5 Nb1 Si0.5 Ti1 V0.5,,,,,,,,,,,0.222,,,,0.111,0.222,,,,,,0.111,,,0.222,0.111,,,,
Hf1 Mo0.5 Nb1 Si0.7 Ti1 V0.5,,,,,,,,,,,0.213,,,,0.106,0.213,,,,,,0.149,,,0.213,0.106,,,,
Hf1 Mo0.5 Nb1 Ti1 V0.5,,,,,,,,,,,0.25,,,,0.125,0.25,,,,,,,,,0.25,0.125,,,,
Hf0.787 Nb0.142 Ta0.142 Ti1 Zr0.787,,,,,,,,,,,0.275,,,,,0.05,,,,,,,,0.05,0.35,,,,,0.275
Al0.25 Nb1 Ta1 Ti1 Zr1,,0.059,,,,,,,,,,,,,,0.235,,,,,,,,0.235,0.235,,,,,0.235
Al0.5 Mo0.5 Nb1 Ta0.5 Ti1 Zr1,,0.111,,,,,,,,,,,,,0.111,0.222,,,,,,,,0.111,0.222,,,,,0.222
Al1 Mo0.5 Nb1 Ta0.5 Ti1 Zr0.5,,0.222,,,,,,,,,,,,,0.111,0.222,,,,,,,,0.111,0.222,,,,,0.111
Al1 Nb1 Ta0.5 Ti1 Zr0.5,,0.25,,,,,,,,,,,,,,0.25,,,,,,,,0.125,0.25,,,,,0.125
Hf1 Nb1 Si0.5 Ti1 V1 Zr1,,,,,,,,,,,0.182,,,,,0.182,,,,,,0.091,,,0.182,0.182,,,,0.182
Al0.2 Mo1 Ta1 Ti1 V1,,0.048,,,,,,,,,,,,,0.238,,,,,,,,,0.238,0.238,0.238,,,,
Al0.6 Mo1 Ta1 Ti1 V1,,0.13,,,,,,,,,,,,,0.217,,,,,,,,,0.217,0.217,0.217,,,,
Al1 Mo1 Ta1 Ti1 V1,,0.2,,,,,,,,,,,,,0.2,,,,,,,,,0.2,0.2,0.2,,,,
Mo1 Ta1 Ti1 V1,,,,,,,,,,,,,,,0.25,,,,,,,,,0.25,0.25,0.25,,,,
Hf1 Nb1 Ta1 Zr1,,,,,,,,,,,0.25,,,,,0.25,,,,,,,,0.25,,,,,,0.25
Hf1 Ta0.4 Ti1 Zr1,,,,,,,,,,,0.294,,,,,,,,,,,,,0.118,0.294,,,,,0.294
Hf1 Ta0.5 Ti1 Zr1,,,,,,,,,,,0.286,,,,,,,,,,,,,0.143,0.286,,,,,0.286
Hf1 Ta0.6 Ti1 Zr1,,,,,,,,,,,0.278,,,,,,,,,,,,,0.167,0.278,,,,,0.278
Hf1 Ta1 Ti1 Zr1,,,,,,,,,,,0.25,,,,,,,,,,,,,0.25,0.25,,,,,0.25
Mo1 Nb1 Ta1 Ti0.25 W1,,,,,,,,,,,,,,,0.235,0.235,,,,,,,,0.235,0.059,,0.235,,,
Mo1 Nb1 Ta1 Ti0.5 W1,,,,,,,,,,,,,,,0.222,0.222,,,,,,,,0.222,0.111,,0.222,,,
Mo1 Nb1 Ta1 Ti0.75 W1,,,,,,,,,,,,,,,0.211,0.211,,,,,,,,0.211,0.158,,0.211,,,
Mo1 Nb1 Ta1 Ti1 W1,,,,,,,,,,,,,,,0.2,0.2,,,,,,,,0.2,0.2,,0.2,,,
Mo1 Nb1 Ta1 Ti1 V1,,,,,,,,,,,,,,,0.2,0.2,,,,,,,,0.2,0.2,0.2,,,,
Mo1 Nb1 Ta1 Ti1 V1 W1,,,,,,,,,,,,,,,0.167,0.167,,,,,,,,0.167,0.167,0.167,0.167,,,
Mo1 Nb1 Ta1 Ti1 Zr1,,,,,,,,,,,,,,,0.2,0.2,,,,,,,,0.2,0.2,,,,,0.2
Nb1 Ta1 Ti1 V1 W1,,,,,,,,,,,,,,,,0.2,,,,,,,,0.2,0.2,0.2,0.2,,,
Nb1 Ta1 V1 W1,,,,,,,,,,,,,,,,0.25,,,,,,,,0.25,,0.25,0.25,,,
Al0.25 Cr0.5 Nb0.5 Ti1 V0.25,,0.1,,,,,0.2,,,,,,,,,0.2,,,,,,,,,0.4,0.1,,,,
Al1 Cr0.5 Nb1 Ti1 V1,,0.222,,,,,0.111,,,,,,,,,0.222,,,,,,,,,0.222,0.222,,,,
Al0.667 Cr1 Nb0.667 Ti0.667 V0.667,,0.182,,,,,0.273,,,,,,,,,0.182,,,,,,,,,0.182,0.182,,,,
Al1 Cr1 Nb1 Ti1 V1,,0.2,,,,,0.2,,,,,,,,,0.2,,,,,,,,,0.2,0.2,,,,
Al0.3 Co1 Cr1 Fe1 Ni1,,0.07,,,,0.233,0.233,,0.233,,,,,,,,,0.233,,,,,,,,,,,,
Cr0.5 Fe1 Mn0.625 Ni0.375,,,,,,,0.2,,0.4,,,,,0.25,,,,0.15,,,,,,,,,,,,
Al0.05 Cr0.5 Fe1 Mn0.625 Ni0.375,,0.02,,,,,0.196,,0.392,,,,,0.245,,,,0.147,,,,,,,,,,,,
Al0.15 Cr0.5 Fe1 Mn0.625 Ni0.375,,0.057,,,,,0.189,,0.377,,,,,0.236,,,,0.142,,,,,,,,,,,,
Al0.25 Cr0.5 Fe1 Mn0.625 Ni0.375,,0.091,,,,,0.182,,0.364,,,,,0.227,,,,0.136,,,,,,,,,,,,
Al0.35 Cr0.5 Fe1 Mn0.625 Ni0.375,,0.123,,,,,0.175,,0.351,,,,,0.219,,,,0.132,,,,,,,,,,,,
Co0.2 Cr0.2 Fe1 Mn0.6,,,,,,0.1,0.1,,0.5,,,,,0.3,,,,,,,,,,,,,,,,
Al0.304 Co1 Cr1 Fe1 Ni1,,0.071,,,,0.232,0.232,,0.232,,,,,,,,,0.232,,,,,,,,,,,,
Al0.515 Cr0.515 Fe1 Ni1,,0.17,,,,,0.17,,0.33,,,,,,,,,0.33,,,,,,,,,,,,
Al0.511 Co0.511 Cr0.511 Fe0.511 Ni1,,0.168,,,,0.168,0.168,,0.168,,,,,,,,,0.329,,,,,,,,,,,,
Al0.465 Co0.465 Cr0.465 Fe0.465 Ni1,,0.163,,,,0.163,0.163,,0.163,,,,,,,,,0.35,,,,,,,,,,,,
Al0.451 Co0.451 Cr0.451 Fe0.451 Ni1,,0.161,,,,0.161,0.161,,0.161,,,,,,,,,0.357,,,,,,,,,,,,
Al0.343 Co0.514 Cr0.514 Fe1 Ni0.514,,0.119,,,,0.178,0.178,,0.347,,,,,,,,,0.178,,,,,,,,,,,,
Co1 Cr0.429 Fe0.571 Mo0.286 Ni0.571,,,,,,0.35,0.15,,0.2,,,,,,0.1,,,0.2,,,,,,,,,,,,
