Alloy name,Ag,Al,B,C,Ca,Co,Cr,Cu,Fe,Ga,Hf,Li,Mg,Mn,Mo,Nb,Nd,Ni,Pd,Re,Sc,Si,Sn,Ta,Ti,V,W,Y,Zn,Zr
Al1 Co0.4 Cr0.4 Fe0.4 Ni0.4,,0.385,,,,0.154,0.154,,0.154,,,,,,,,,0.154,,,,,,,,,,,,
Al1 Co0.333 Cr0.333 Fe0.333 Ni0.333,,0.429,,,,0.143,0.143,,0.143,,,,,,,,,0.143,,,,,,,,,,,,
Al1 Cr1 Cu1 Fe1 Ni1,,0.2,,,,,0.2,0.2,0.2,,,,,,,,,0.2,,,,,,,,,,,,
Co1 Cr1 Cu1 Fe1 Ni1,,,,,,0.2,0.2,0.2,0.2,,,,,,,,,0.2,,,,,,,,,,,,
Cr1 Cu1 Fe1 Mn1 Ni1,,,,,,,0.2,0.2,0.2,,,,,0.2,,,,0.2,,,,,,,,,,,,
Cr1 Cu1 Fe1 Mo1 Ni1,,,,,,,0.2,0.2,0.2,,,,,,0.2,,,0.2,,,,,,,,,,,,
Al1 C0.1 Co1 Cr1 Fe1 Ni1,,0.196,,0.02,,0.196,0.196,,0.196,,,,,,,,,0.196,,,,,,,,,,,,
Al1 C0.2 Co1 Cr1 Fe1 Ni1,,0.192,,0.038,,0.192,0.192,,0.192,,,,,,,,,0.192,,,,,,,,,,,,
Al1 C0.3 Co1 Cr1 Fe1 Ni1,,0.189,,0.057,,0.189,0.189,,0.189,,,,,,,,,0.189,,,,,,,,,,,,
Al1 C0.4 Co1 Cr1 Fe1 Ni1,,0.185,,0.074,,0.185,0.185,,0.185,,,,,,,,,0.185,,,,,,,,,,,,
Al1 C0.5 Co1 Cr1 Fe1 Ni1,,0.182,,0.091,,0.182,0.182,,0.182,,,,,,,,,0.182,,,,,,,,,,,,
Al0.667 C1 Co0.667 Cr0.667 Fe0.667 Ni0.667,,0.154,,0.231,,0.154,0.154,,0.154,,,,,,,,,0.154,,,,,,,,,,,,
Al1 C1 Co1 Cr1 Fe1 Ni1,,0.167,,0.167,,0.167,0.167,,0.167,,,,,,,,,0.167,,,,,,,,,,,,
Al1 Co1 Cr1 Fe1 Mo0.1 Ni1,,0.196,,,,0.196,0.196,,0.196,,,,,,0.02,,,0.196,,,,,,,,,,,,
Al1 Co1 Cr1 Fe1 Mo0.2 Ni1,,0.192,,,,0.192,0.192,,0.192,,,,,,0.038,,,0.192,,,,,,,,,,,,
Al1 Co1 Cr1 Fe1 Mo0.3 Ni1,,0.189,,,,0.189,0.189,,0.189,,,,,,0.057,,,0.189,,,,,,,,,,,,
Al1 Co1 Cr1 Fe1 Mo0.4 Ni1,,0.185,,,,0.185,0.185,,0.185,,,,,,0.074,,,0.185,,,,,,,,,,,,
Al1 Co1 Cr1 Fe1 Nb0.1 Ni1,,0.196,,,,0.196,0.196,,0.196,,,,,,,0.02,,0.196,,,,,,,,,,,,
Al1 Co1 Cr1 Fe1 Nb0.25 Ni1,,0.19,,,,0.19,0.19,,0.19,,,,,,,0.048,,0.19,,,,,,,,,,,,
Al1 Co1 Cr1 Fe1 Nb0.5 Ni1,,0.182,,,,0.182,0.182,,0.182,,,,,,,0.091,,0.182,,,,,,,,,,,,
Al1 Co1 Cr1 Fe1 Nb0.75 Ni1,,0.174,,,,0.174,0.174,,0.174,,,,,,,0.13,,0.174,,,,,,,,,,,,
Al0.8 Co1 Cr1 Cu1 Fe1 Ni1,,0.138,,,,0.172,0.172,0.172,0.172,,,,,,,,,0.172,,,,,,,,,,,,
Al1 Co0.5 Cr1 Fe1 Mo0.5 Ni1,,0.2,,,,0.1,0.2,,0.2,,,,,,0.1,,,0.2,,,,,,,,,,,,
Al0.667 Co1 Cr0.667 Fe0.667 Mo0.333 Ni0.667,,0.167,,,,0.25,0.167,,0.167,,,,,,0.083,,,0.167,,,,,,,,,,,,
Al0.5 Co1 Cr0.5 Fe0.5 Mo0.25 Ni0.5,,0.154,,,,0.308,0.154,,0.154,,,,,,0.077,,,0.154,,,,,,,,,,,,
Al1 Co1 Cr1 Fe0.6 Mo0.5 Ni1,,0.196,,,,0.196,0.196,,0.118,,,,,,0.098,,,0.196,,,,,,,,,,,,
Al0.667 Co0.667 Cr0.667 Fe1 Mo0.333 Ni0.667,,0.167,,,,0.167,0.167,,0.25,,,,,,0.083,,,0.167,,,,,,,,,,,,
Al0.5 Co0.5 Cr0.5 Fe1 Mo0.25 Ni0.5,,0.154,,,,0.154,0.154,,0.308,,,,,,0.077,,,0.154,,,,,,,,,,,,
Al1 Co1 Cr1 Fe1 Mo0.5,,0.222,,,,0.222,0.222,,0.222,,,,,,0.111,,,,,,,,,,,,,,,
Al1 Co1 Cr1 Fe1 Mo0.5 Ni0.5,,0.2,,,,0.2,0.2,,0.2,,,,,,0.1,,,0.1,,,,,,,,,,,,
Al0.667 Co0.667 Cr0.667 Fe0.667 Mo0.333 Ni1,,0.167,,,,0.167,0.167,,0.167,,,,,,0.083,,,0.25,,,,,,,,,,,,
Al0.5 Co0.5 Cr0.5 Fe0.5 Mo0.25 Ni1,,0.154,,,,0.154,0.154,,0.154,,,,,,0.077,,,0.308,,,,,,,,,,,,
Al1 Co1 Cr1 Fe1 Ni1 Si1,,0.167,,,,0.167,0.167,,0.167,,,,,,,,,0.167,,,,0.167,,,,,,,,
Al1 Co1 Cr1 Fe1 Ni1 Si0.2,,0.192,,,,0.192,0.192,,0.192,,,,,,,,,0.192,,,,0.038,,,,,,,,
Al1 Co1 Cr1 Fe1 Ni1 Si0.4,,0.185,,,,0.185,0.185,,0.185,,,,,,,,,0.185,,,,0.074,,,,,,,,
Al1 Co1 Cr1 Fe1 Ni1 Si0.6,,0.179,,,,0.179,0.179,,0.179,,,,,,,,,0.179,,,,0.107,,,,,,,,
Al1 Co1 Cr1 Fe1 Ni1 Si0.8,,0.172,,,,0.172,0.172,,0.172,,,,,,,,,0.172,,,,0.138,,,,,,,,
Al0.25 Co1 Cr1 Cu0.5 Fe1 Ni1 Ti0.5,,0.048,,,,0.19,0.19,0.095,0.19,,,,,,,,,0.19,,,,,,,0.095,,,,,
Al0.25 Co1 Cr1 Cu0.75 Fe1 Ni1 Ti0.5,,0.045,,,,0.182,0.182,0.136,0.182,,,,,,,,,0.182,,,,,,,0.091,,,,,
Al0.5 Co1 Cr1 Cu0.5 Fe1 Ni1 Ti0.5,,0.091,,,,0.182,0.182,0.091,0.182,,,,,,,,,0.182,,,,,,,0.091,,,,,
Al0.75 Co1 Cr1 Cu0.25 Fe1 Ni1 Ti0.5,,0.136,,,,0.182,0.182,0.045,0.182,,,,,,,,,0.182,,,,,,,0.091,,,,,
Co1 Cr1 Cu1 Fe1 Ni1 Ti0.5,,,,,,0.182,0.182,0.182,0.182,,,,,,,,,0.182,,,,,,,0.091,,,,,
Al1 Co1 Cr1 Fe1 Ni1 Ti0.5,,0.182,,,,0.182,0.182,,0.182,,,,,,,,,0.182,,,,,,,0.091,,,,,
Al0.667 Co0.667 Cr0.667 Fe0.667 Ni0.667 Ti1,,0.154,,,,0.154,0.154,,0.154,,,,,,,,,0.154,,,,,,,0.231,,,,,
Al1 Co1 Cr1 Fe1 Ni1 Ti1 V1 Zr1,,0.125,,,,0.125,0.125,,0.125,,,,,,,,,0.125,,,,,,,0.125,0.125,,,,0.125
Al1 Co1 Fe1 Ni1 Ti1 V1 Zr1,,0.143,,,,0.143,,,0.143,,,,,,,,,0.143,,,,,,,0.143,0.143,,,,0.143
Al1 Fe1 Ni1 Ti1 V1 Zr1,,0.167,,,,,,,0.167,,,,,,,,,0.167,,,,,,,0.167,0.167,,,,0.167
Co1 Cr1 Cu1 Fe1 Ni1 Ti1 V1 Zr1,,,,,,0.125,0.125,0.125,0.125,,,,,,,,,0.125,,,,,,,0.125,0.125,,,,0.125
Co1 Cr1 Fe1 Mo1 Ni1 Ti1 V1 Zr1,,,,,,0.125,0.125,,0.125,,,,,,0.125,,,0.125,,,,,,,0.125,0.125,,,,0.125
Co1 Cu1 Fe1 Ni1 Ti1 V1 Zr1,,,,,,0.143,,0.143,0.143,,,,,,,,,0.143,,,,,,,0.143,0.143,,,,0.143
Co1 Fe1 Mo1 Ni1 Ti1 V1 Zr1,,,,,,0.143,,,0.143,,,,,,0.143,,,0.143,,,,,,,0.143,0.143,,,,0.143
Cu1 Fe1 Ni1 Ti1 V1 Zr1,,,,,,,,0.167,0.167,,,,,,,,,0.167,,,,,,,0.167,0.167,,,,0.167
Fe1 Mo1 Ni1 Ti1 V1 Zr1,,,,,,,,,0.167,,,,,,0.167,,,0.167,,,,,,,0.167,0.167,,,,0.167
Al0.1 Co1 Cr1 Fe1 Mn1 Ni1,,0.02,,,,0.196,0.196,,0.196,,,,,0.196,,,,0.196,,,,,,,,,,,,
Al0.2 Co1 Cr1 Fe1 Mn1 Ni1,,0.038,,,,0.192,0.192,,0.192,,,,,0.192,,,,0.192,,,,,,,,,,,,
Al0.38 Co1 Cr1 Fe1 Mn1 Ni1,,0.071,,,,0.186,0.186,,0.186,,,,,0.186,,,,0.186,,,,,,,,,,,,
Al0.43 Co1 Cr1 Fe1 Mn1 Ni1,,0.079,,,,0.184,0.184,,0.184,,,,,0.184,,,,0.184,,,,,,,,,,,,
Al0.49 Co1 Cr1 Fe1 Mn1 Ni1,,0.089,,,,0.182,0.182,,0.182,,,,,0.182,,,,0.182,,,,,,,,,,,,
Al0.56 Co1 Cr1 Fe1 Mn1 Ni1,,0.101,,,,0.18,0.18,,0.18,,,,,0.18,,,,0.18,,,,,,,,,,,,
Al0.62 Co1 Cr1 Fe1 Mn1 Ni1,,0.11,,,,0.178,0.178,,0.178,,,,,0.178,,,,0.178,,,,,,,,,,,,
Al0.68 Co1 Cr1 Fe1 Mn1 Ni1,,0.12,,,,0.176,0.176,,0.176,,,,,0.176,,,,0.176,,,,,,,,,,,,
Al0.75 Co1 Cr1 Fe1 Mn1 Ni1,,0.13,,,,0.174,0.174,,0.174,,,,,0.174,,,,0.174,,,,,,,,,,,,
Al0.81 Co1 Cr1 Fe1 Mn1 Ni1,,0.139,,,,0.172,0.172,,0.172,,,,,0.172,,,,0.172,,,,,,,,,,,,
Al0.88 Co1 Cr1 Fe1 Mn1 Ni1,,0.15,,,,0.17,0.17,,0.17,,,,,0.17,,,,0.17,,,,,,,,,,,,
Al0.95 Co1 Cr1 Fe1 Mn1 Ni1,,0.16,,,,0.168,0.168,,0.168,,,,,0.168,,,,0.168,,,,,,,,,,,,
Al1 Co0.8 Cr0.8 Fe0.8 Mn0.8 Ni0.8,,0.2,,,,0.16,0.16,,0.16,,,,,0.16,,,,0.16,,,,,,,,,,,,
Co1 Cr1 Fe1 Mn1 Ni1,,,,,,0.2,0.2,,0.2,,,,,0.2,,,,0.2,,,,,,,,,,,,
Co1 Cr1 Fe1 Mn1 Ni1 V0.25,,,,,,0.19,0.19,,0.19,,,,,0.19,,,,0.19,,,,,,,,0.048,,,,
Co1 Cr1 Fe1 Mn1 Ni1 V0.5,,,,,,0.182,0.182,,0.182,,,,,0.182,,,,0.182,,,,,,,,0.091,,,,
Co1 Cr1 Fe1 Mn1 Ni1 V0.75,,,,,,0.174,0.174,,0.174,,,,,0.174,,,,0.174,,,,,,,,0.13,,,,
Co1 Cr1 Fe1 Mn1 Ni1 V1,,,,,,0.167,0.167,,0.167,,,,,0.167,,,,0.167,,,,,,,,0.167,,,,
Al0.2 Cr0.667 Fe1 Mn0.667 Ni0.333,,0.07,,,,,0.233,,0.349,,,,,0.233,,,,0.116,,,,,,,,,,,,
Al0.333 Cr0.667 Fe1 Mn0.667 Ni0.333,,0.111,,,,,0.222,,0.333,,,,,0.222,,,,0.111,,,,,,,,,,,,
Al1 Cr1 Fe1 Ni1,,0.25,,,,,0.25,,0.25,,,,,,,,,0.25,,,,,,,,,,,,
Al1 Cr1 Fe1 Mo1 Ni1,,0.2,,,,,0.2,,0.2,,,,,,0.2,,,0.2,,,,,,,,,,,,
Al1 Cr1 Fe1 Mo0.2 Ni1,,0.238,,,,,0.238,,0.238,,,,,,0.048,,,0.238,,,,,,,,,,,,
Al1 Cr1 Fe1 Mo0.5 Ni1,,0.222,,,,,0.222,,0.222,,,,,,0.111,,,0.222,,,,,,,,,,,,
Al1 Cr1 Fe1 Mo0.8 Ni1,,0.208,,,,,0.208,,0.208,,,,,,0.167,,,0.208,,,,,,,,,,,,
Al0.3 Co1 Cr1 Cu1 Fe1,,0.07,,,,0.233,0.233,0.233,0.233,,,,,,,,,,,,,,,,,,,,,
Al0.5 Co1 Cr1 Cu1 Fe1,,0.111,,,,0.222,0.222,0.222,0.222,,,,,,,,,,,,,,,,,,,,,
Al0.8 Co1 Cr1 Cu1 Fe1,,0.167,,,,0.208,0.208,0.208,0.208,,,,,,,,,,,,,,,,,,,,,
Al1 Co0.769 Cr0.769 Cu0.769 Fe0.769,,0.245,,,,0.189,0.189,0.189,0.189,,,,,,,,,,,,,,,,,,,,,
Al1 Co0.667 Cr0.667 Cu0.667 Fe0.667,,0.273,,,,0.182,0.182,0.182,0.182,,,,,,,,,,,,,,,,,,,,,
Al1 Co0.556 Cr0.556 Cu0.556 Fe0.556,,0.31,,,,0.172,0.172,0.172,0.172,,,,,,,,,,,,,,,,,,,,,
Al1 Co0.5 Cr0.5 Cu0.5 Fe0.5,,0.333,,,,0.167,0.167,0.167,0.167,,,,,,,,,,,,,,,,,,,,,
Al1 Co0.435 Cr0.435 Cu0.435 Fe0.435,,0.365,,,,0.159,0.159,0.159,0.159,,,,,,,,,,,,,,,,,,,,,
Al1 Co0.4 Cr0.4 Cu0.4 Fe0.4,,0.385,,,,0.154,0.154,0.154,0.154,,,,,,,,,,,,,,,,,,,,,
Al1 Co0.357 Cr0.357 Cu0.357 Fe0.357,,0.412,,,,0.147,0.147,0.147,0.147,,,,,,,,,,,,,,,,,,,,,
Al1 Co0.333 Cr0.333 Cu0.333 Fe0.333,,0.429,,,,0.143,0.143,0.143,0.143,,,,,,,,,,,,,,,,,,,,,
Al1 Co1 Cr1 Cu1 Fe1,,0.2,,,,0.2,0.2,0.2,0.2,,,,,,,,,,,,,,,,,,,,,
Co1 Cr1 Cu1 Fe1,,,,,,0.25,0.25,0.25,0.25,,,,,,,,,,,,,,,,,,,,,
Co1 Cr1 Cu0.5 Fe1 Ni1,,,,,,0.222,0.222,0.111,0.222,,,,,,,,,0.222,,,,,,,,,,,,
Co1 Cr1 Cu1 Fe1 Ni1 Ti1,,,,,,0.167,0.167,0.167,0.167,,,,,,,,,0.167,,,,,,,0.167,,,,,
Co1 Cr1 Cu1 Fe1 Ni1 Ti0.8,,,,,,0.172,0.172,0.172,0.172,,,,,,,,,0.172,,,,,,,0.138,,,,,
Al0.5 B0.2 Co1 Cr1 Cu1 Fe1 Ni1,,0.088,0.035,,,0.175,0.175,0.175,0.175,,,,,,,,,0.175,,,,,,,,,,,,
Al0.5 B0.6 Co1 Cr1 Cu1 Fe1 Ni1,,0.082,0.098,,,0.164,0.164,0.164,0.164,,,,,,,,,0.164,,,,,,,,,,,,
Al0.5 B1 Co1 Cr1 Cu1 Fe1 Ni1,,0.077,0.154,,,0.154,0.154,0.154,0.154,,,,,,,,,0.154,,,,,,,,,,,,
Al0.5 Co1 Cr1 Cu1 Fe1 Ni1,,0.091,,,,0.182,0.182,0.182,0.182,,,,,,,,,0.182,,,,,,,,,,,,
Al0.5 Co1 Cr1 Cu1 Fe1 Ni1 Ti1,,0.077,,,,0.154,0.154,0.154,0.154,,,,,,,,,0.154,,,,,,,0.154,,,,,
Al0.5 Co1 Cr1 Cu1 Fe1 Ni1 Ti0.2,,0.088,,,,0.175,0.175,0.175,0.175,,,,,,,,,0.175,,,,,,,0.035,,,,,
