Alloy composition,FORMULA,IDENTIFIER: Reference ID,REFERENCE: doi,PROPERTY: Processing method,PROPERTY: Microstructure,PROPERTY: O content (wppm),PROPERTY: N content (wppm),PROPERTY: C content (wppm),PROPERTY: grain size ($\mu$m),PROPERTY: ROM Density (g/cm$^3$),PROPERTY: Exp. Density (g/cm$^3$),PROPERTY: HV,PROPERTY: Type of test,PROPERTY: Test temperature ($^\circ$C),PROPERTY: YS (MPa),PROPERTY: UTS (MPa),PROPERTY: Elongation (%),PROPERTY: Elongation plastic (%),PROPERTY: Young modulus (GPa),REFERENCE: year
,Al0.75 Co1 Cr1 Fe1 Ni1,54,10.1016/j.jallcom.2009.08.090,ANNEAL,FCC+BCC,,,,,7.0,,280.0,,25.0,,,,,200.0,2009
Al0.75 Co1 Fe1 Ni1,,,,,,,,,,,,,,,,,,,,
,Al0.75 Co1 Fe1 Ni1,27,10.1016/j.jmmm.2014.07.023,CAST,FCC+BCC,,,,,7.0,,385.0,C,25.0,794.0,,,,179.0,2014
Al0.75 Hf1 Nb1 Ta1 Ti1 Zr1,,,,,,,,,,,,,,,,,,,,
,Al0.75 Hf1 Nb1 Ta1 Ti1 Zr1,40,10.1016/j.jallcom.2014.11.064,CAST,BCC,,,,89.0,9.3,,427.0,C,25.0,1415.0,2050.0,30.0,,102.0,2014
Al0.75 Mo1 Nb1 Ti1 V1,,,,,,,,,,,,,,,,,,,,
,Al0.75 Mo1 Nb1 Ti1 V1,41,10.3390/e16020870,CAST,BCC,,,,,6.6,,517.0,C,25.0,1260.0,1300.0,8.0,,154.0,2014
Al0.774 Fe1 Mn0.903 Ni0.484,,,,,,,,,,,,,,,,,,,,
,Al0.774 Fe1 Mn0.903 Ni0.484,123,10.1155/2019/2157592,CAST,,,,,,,,310.0,,,,,,,,2019
,Al0.774 Fe1 Mn0.903 Ni0.484,123,10.1155/2019/2157592,ANNEAL,,,,,,,,340.0,,,,,,,,2019
,Al0.774 Fe1 Mn0.903 Ni0.484,123,10.1155/2019/2157592,ANNEAL,,,,,,,,330.0,,,,,,,,2019
Al0.774 Fe1 Mn0.903 Ni0.484 Ti0.026,,,,,,,,,,,,,,,,,,,,
,Al0.774 Fe1 Mn0.903 Ni0.484 Ti0.026,123,10.1155/2019/2157592,CAST,,,,,,,,330.0,,,,,,,,2019
,Al0.774 Fe1 Mn0.903 Ni0.484 Ti0.026,123,10.1155/2019/2157592,ANNEAL,,,,,,,,410.0,,,,,,,,2019
,Al0.774 Fe1 Mn0.903 Ni0.484 Ti0.026,123,10.1155/2019/2157592,ANNEAL,,,,,,,,330.0,,,,,,,,2019
Al0.774 Fe1 Mn0.903 Ni0.484 Ti0.097,,,,,,,,,,,,,,,,,,,,
,Al0.774 Fe1 Mn0.903 Ni0.484 Ti0.097,123,10.1155/2019/2157592,CAST,,,,,,,,500.0,,,,,,,,2019
,Al0.774 Fe1 Mn0.903 Ni0.484 Ti0.097,123,10.1155/2019/2157592,ANNEAL,,,,,,,,495.0,,,,,,,,2019
,Al0.774 Fe1 Mn0.903 Ni0.484 Ti0.097,123,10.1155/2019/2157592,ANNEAL,,,,,,,,490.0,,,,,,,,2019
Al0.8 Co1 Cr1 Cu1 Fe1,,,,,,,,,,,,,,,,,,,,
,Al0.8 Co1 Cr1 Cu1 Fe1,20,10.3166/acsm.31.633-648,,FCC+BCC,,,,,7.0,,271.0,,25.0,,,,,177.0,2019
Al0.8 Co1 Cr1 Cu1 Fe1 Ni1,,,,,,,,,,,,,,,,,,,,
,Al0.8 Co1 Cr1 Cu1 Fe1 Ni1,9,10.1002/adem.200900171,CAST,FCC+BCC,,,,,7.3,,270.0,,25.0,,,,,187.0,2010
Al0.8 Co1 Cr1 Fe1 Ni1 Ti0.2,,,,,,,,,,,,,,,,,,,,
,Al0.8 Co1 Cr1 Fe1 Ni1 Ti0.2,181,10.1016/j.jallcom.2019.07.100,,,,,,,,,,C,25.0,968.0,,30.1,,,2019
Al0.8 Cr1 Fe1 Mn1 Ni1,,,,,,,,,,,,,,,,,,,,
,Al0.8 Cr1 Fe1 Mn1 Ni1,101,10.1016/j.msea.2019.04.104,CAST,,,,,,,,386.0,C,25.0,1200.0,,55.0,,,2019
Al0.81 Co1 Cr1 Fe1 Mn1 Ni1,,,,,,,,,,,,,,,,,,,,
,Al0.81 Co1 Cr1 Fe1 Mn1 Ni1,16,10.1016/j.actamat.2013.09.037,CAST,FCC+BCC,,,,,7.0,,539.0,,25.0,,,,,199.0,2013
Al0.833 Cr0.833 Cu0.833 Fe0.833 Ni1,,,,,,,,,,,,,,,,,,,,
,Al0.833 Cr0.833 Cu0.833 Fe0.833 Ni1,32,10.1016/j.msea.2011.11.063,ANNEAL,FCC+BCC,,,,,6.8,,407.0,,25.0,,,,,179.0,2011
Al0.853 Co0.647 Cr1 Fe0.147 Ni0.294,,,,,,,,,,,,,,,,,,,,
,Al0.853 Co0.647 Cr1 Fe0.147 Ni0.294,155,10.1016/j.actamat.2019.03.010,,,,,,,,,699.0,,,,,,,,2019
Al0.875 Co1 Cr1 Fe1 Ni1,,,,,,,,,,,,,,,,,,,,
,Al0.875 Co1 Cr1 Fe1 Ni1,54,10.1016/j.jallcom.2009.08.090,ANNEAL,BCC,,,,,6.9,,538.0,,25.0,,,,,197.0,2009
,Al0.875 Co1 Cr1 Fe1 Ni1,54,10.1016/j.jallcom.2009.08.090,ANNEAL,FCC+BCC,,,,,6.9,,361.0,,25.0,,,,,197.0,2009
,Al0.875 Co1 Cr1 Fe1 Ni1,3,10.1016/C2013-0-14235-3,,FCC+BCC,,,,,6.9,,,,25.0,,,,,197.0,2014
Al0.88 Co1 Cr1 Fe1 Mn1 Ni1,,,,,,,,,,,,,,,,,,,,
,Al0.88 Co1 Cr1 Fe1 Mn1 Ni1,16,10.1016/j.actamat.2013.09.037,CAST,FCC+BCC,,,,,7.0,,533.0,,25.0,,,,,197.0,2013
Al0.885 Cr1 Fe1 Ni1,,,,,,,,,,,,,,,,,,,,
,Al0.885 Cr1 Fe1 Ni1,159,10.1016/j.matchar.2018.06.036,CAST,,,,,,,,,C,25.0,770.0,,37.1,,,2018
Al0.9 Co1 Cr1 Fe1 Ni1,,,,,,,,,,,,,,,,,,,,
,Al0.9 Co1 Cr1 Fe1 Ni1,137,10.1016/j.matdes.2019.107698,CAST,,,,,,,,511.0,,,,,,,,2019
Al0.9 Co1 Cr1 Fe1 Ni1 Ti0.5,,,,,,,,,,,,,,,,,,,,
,Al0.9 Co1 Cr1 Fe1 Ni1 Ti0.5,137,10.1016/j.matdes.2019.107698,CAST,,,,,,,,623.0,,,,,,,,2019
Al0.947 Co0.158 Mo1 Ni0.289 W0.237,,,,,,,,,,,,,,,,,,,,
,Al0.947 Co0.158 Mo1 Ni0.289 W0.237,212,10.1038/s41467-019-10533-1,CAST,,,,,,,,725.0,,25.0,,,,,,2019
Al0.95 Co1 Cr1 Fe1 Mn1 Ni1,,,,,,,,,,,,,,,,,,,,
,Al0.95 Co1 Cr1 Fe1 Mn1 Ni1,16,10.1016/j.actamat.2013.09.037,CAST,FCC+BCC,,,,,6.9,,535.0,,25.0,,,,,196.0,2013
Al1 C0.1 Co1 Cr1 Fe1 Ni1,,,,,,,,,,,,,,,,,,,,
,Al1 C0.1 Co1 Cr1 Fe1 Ni1,6,10.1016/j.jallcom.2010.10.047,CAST,BCC+Sec.,,,,,6.7,,,C,25.0,957.0,2550.0,,11.0,213.0,2010
,Al1 C0.1 Co1 Cr1 Fe1 Ni1,181,10.1016/j.jallcom.2019.07.100,,,,,,,,,,C,25.0,957.0,,10.52,,,2019
Al1 C0.2 Co1 Cr1 Fe1 Ni1,,,,,,,,,,,,,,,,,,,,
,Al1 C0.2 Co1 Cr1 Fe1 Ni1,6,10.1016/j.jallcom.2010.10.047,CAST,BCC+Sec.,,,,,6.8,,,C,25.0,906.0,2386.0,,9.0,151.0,2010
,Al1 C0.2 Co1 Cr1 Fe1 Ni1,181,10.1016/j.jallcom.2019.07.100,,,,,,,,,,C,25.0,906.0,,8.68,,,2019
Al1 C0.3 Co1 Cr1 Fe1 Ni1,,,,,,,,,,,,,,,,,,,,
,Al1 C0.3 Co1 Cr1 Fe1 Ni1,6,10.1016/j.jallcom.2010.10.047,CAST,BCC+Sec.,,,,,6.8,,,C,25.0,867.0,2178.0,,8.0,137.0,2010
,Al1 C0.3 Co1 Cr1 Fe1 Ni1,181,10.1016/j.jallcom.2019.07.100,,,,,,,,,,C,25.0,867.0,,7.82,,,2019
Al1 C0.4 Co1 Cr1 Fe1 Ni1,,,,,,,,,,,,,,,,,,,,
,Al1 C0.4 Co1 Cr1 Fe1 Ni1,6,10.1016/j.jallcom.2010.10.047,CAST,BCC+Sec.,,,,,6.8,,,C,25.0,1056.0,2375.0,,7.0,156.0,2010
,Al1 C0.4 Co1 Cr1 Fe1 Ni1,181,10.1016/j.jallcom.2019.07.100,,,,,,,,,,C,25.0,1056.0,,6.67,,,2019
Al1 C0.5 Co1 Cr1 Fe1 Ni1,,,,,,,,,,,,,,,,,,,,
,Al1 C0.5 Co1 Cr1 Fe1 Ni1,6,10.1016/j.jallcom.2010.10.047,CAST,BCC+Sec.,,,,,6.8,,,C,25.0,1060.0,2250.0,,6.0,181.0,2010
,Al1 C0.5 Co1 Cr1 Fe1 Ni1,181,10.1016/j.jallcom.2019.07.100,,,,,,,,,,C,25.0,1060.0,,5.6,,,2019
Al1 C1 Co1 Cr1 Fe1 Ni1,,,,,,,,,,,,,,,,,,,,
,Al1 C1 Co1 Cr1 Fe1 Ni1,6,10.1016/j.jallcom.2010.10.047,CAST,BCC+Sec.,,,,,6.9,,,C,25.0,1251.0,2166.0,,7.0,75.0,2010
,Al1 C1 Co1 Cr1 Fe1 Ni1,124,10.1080/00325899.2019.1576389,POWDER,,,,,,,,,,,,,,,,2019
Al1 Co0.149 Cr0.34 Cu0.191 Fe0.34 Ni0.106,,,,,,,,,,,,,,,,,,,,
,Al1 Co0.149 Cr0.34 Cu0.191 Fe0.34 Ni0.106,155,10.1016/j.actamat.2019.03.010,,,,,,,,,749.0,,,,,,,,2019
Al1 Co0.234 Cr0.468 Cu0.106 Fe0.213 Ni0.106,,,,,,,,,,,,,,,,,,,,
,Al1 Co0.234 Cr0.468 Cu0.106 Fe0.213 Ni0.106,155,10.1016/j.actamat.2019.03.010,,,,,,,,,797.0,,,,,,,,2019
Al1 Co0.238 Cr0.714 Cu0.119 Fe0.167 Ni0.143,,,,,,,,,,,,,,,,,,,,
,Al1 Co0.238 Cr0.714 Cu0.119 Fe0.167 Ni0.143,155,10.1016/j.actamat.2019.03.010,,,,,,,,,783.0,,,,,,,,2019
Al1 Co0.25 Cr1 Fe1 Ni1,,,,,,,,,,,,,,,,,,,,
,Al1 Co0.25 Cr1 Fe1 Ni1,181,10.1016/j.jallcom.2019.07.100,,,,,,,,,,C,25.0,1363.0,,19.0,,,2019
Al1 Co0.255 Cr0.255 Cu0.106 Fe0.277 Ni0.234,,,,,,,,,,,,,,,,,,,,
,Al1 Co0.255 Cr0.255 Cu0.106 Fe0.277 Ni0.234,155,10.1016/j.actamat.2019.03.010,,,,,,,,,811.0,,,,,,,,2019
Al1 Co0.255 Cr0.426 Cu0.106 Fe0.234 Ni0.106,,,,,,,,,,,,,,,,,,,,
,Al1 Co0.255 Cr0.426 Cu0.106 Fe0.234 Ni0.106,155,10.1016/j.actamat.2019.03.010,,,,,,,,,843.0,,,,,,,,2019
Al1 Co0.256 Cr0.795 Cu0.128 Fe0.205 Ni0.179,,,,,,,,,,,,,,,,,,,,
,Al1 Co0.256 Cr0.795 Cu0.128 Fe0.205 Ni0.179,155,10.1016/j.actamat.2019.03.010,,,,,,,,,802.0,,,,,,,,2019
Al1 Co0.277 Cr0.277 Cu0.106 Fe0.255 Ni0.213,,,,,,,,,,,,,,,,,,,,
,Al1 Co0.277 Cr0.277 Cu0.106 Fe0.255 Ni0.213,155,10.1016/j.actamat.2019.03.010,,,,,,,,,799.0,,,,,,,,2019
Al1 Co0.277 Cr0.426 Cu0.106 Fe0.213 Ni0.106,,,,,,,,,,,,,,,,,,,,
,Al1 Co0.277 Cr0.426 Cu0.106 Fe0.213 Ni0.106,155,10.1016/j.actamat.2019.03.010,,,,,,,,,805.0,,,,,,,,2019
Al1 Co0.278 Cr0.861 Cu0.167 Fe0.25 Ni0.222,,,,,,,,,,,,,,,,,,,,
,Al1 Co0.278 Cr0.861 Cu0.167 Fe0.25 Ni0.222,155,10.1016/j.actamat.2019.03.010,,,,,,,,,790.0,,,,,,,,2019
Al1 Co0.289 Cr0.158 Cu0.237 Fe0.816 Ni0.132,,,,,,,,,,,,,,,,,,,,
,Al1 Co0.289 Cr0.158 Cu0.237 Fe0.816 Ni0.132,155,10.1016/j.actamat.2019.03.010,,,,,,,,,604.0,,,,,,,,2019
Al1 Co0.298 Cr0.319 Cu0.106 Fe0.277 Ni0.128,,,,,,,,,,,,,,,,,,,,
,Al1 Co0.298 Cr0.319 Cu0.106 Fe0.277 Ni0.128,155,10.1016/j.actamat.2019.03.010,,,,,,,,,728.0,,,,,,,,2019
Al1 Co0.298 Cr0.404 Cu0.106 Fe0.213 Ni0.106,,,,,,,,,,,,,,,,,,,,
,Al1 Co0.298 Cr0.404 Cu0.106 Fe0.213 Ni0.106,155,10.1016/j.actamat.2019.03.010,,,,,,,,,855.0,,,,,,,,2019
Al1 Co0.298 Cr0.426 Cu0.106 Fe0.191 Ni0.106,,,,,,,,,,,,,,,,,,,,
,Al1 Co0.298 Cr0.426 Cu0.106 Fe0.191 Ni0.106,155,10.1016/j.actamat.2019.03.010,,,,,,,,,859.0,,,,,,,,2019
Al1 Co0.304 Cr0.5 Cu0.109 Fe0.152 Ni0.109,,,,,,,,,,,,,,,,,,,,
,Al1 Co0.304 Cr0.5 Cu0.109 Fe0.152 Ni0.109,155,10.1016/j.actamat.2019.03.010,,,,,,,,,811.0,,,,,,,,2019
Al1 Co0.318 Cr0.5 Cu0.114 Fe0.205 Ni0.136,,,,,,,,,,,,,,,,,,,,
,Al1 Co0.318 Cr0.5 Cu0.114 Fe0.205 Ni0.136,155,10.1016/j.actamat.2019.03.010,,,,,,,,,790.0,,,,,,,,2019
Al1 Co0.326 Cr0.488 Cu0.116 Fe0.279 Ni0.116,,,,,,,,,,,,,,,,,,,,
,Al1 Co0.326 Cr0.488 Cu0.116 Fe0.279 Ni0.116,155,10.1016/j.actamat.2019.03.010,,,,,,,,,828.0,,,,,,,,2019
Al1 Co0.333 Cr0.333 Cu0.333 Fe0.333,,,,,,,,,,,,,,,,,,,,
,Al1 Co0.333 Cr0.333 Cu0.333 Fe0.333,20,10.3166/acsm.31.633-648,,BCC,,,,,5.4,,644.0,,25.0,,,,,138.0,2019
Al1 Co0.333 Cr0.333 Fe0.333 Ni0.333,,,,,,,,,,,,,,,,,,,,
,Al1 Co0.333 Cr0.333 Fe0.333 Ni0.333,4,10.1016/j.jallcom.2008.07.124,CAST,BCC,,,,,5.3,,506.0,,25.0,,,,,158.0,2008
Al1 Co0.349 Cr0.395 Cu0.116 Fe0.326 Ni0.14,,,,,,,,,,,,,,,,,,,,
,Al1 Co0.349 Cr0.395 Cu0.116 Fe0.326 Ni0.14,155,10.1016/j.actamat.2019.03.010,,,,,,,,,794.0,,,,,,,,2019
Al1 Co0.357 Cr0.357 Cu0.357 Fe0.357,,,,,,,,,,,,,,,,,,,,
,Al1 Co0.357 Cr0.357 Cu0.357 Fe0.357,20,10.3166/acsm.31.633-648,,BCC,,,,,5.5,,657.0,,25.0,,,,,140.0,2019
Al1 Co0.362 Cr0.34 Cu0.106 Fe0.213 Ni0.106,,,,,,,,,,,,,,,,,,,,
,Al1 Co0.362 Cr0.34 Cu0.106 Fe0.213 Ni0.106,155,10.1016/j.actamat.2019.03.010,,,,,,,,,841.0,,,,,,,,2019
Al1 Co0.383 Cr0.319 Cu0.106 Fe0.213 Ni0.106,,,,,,,,,,,,,,,,,,,,
,Al1 Co0.383 Cr0.319 Cu0.106 Fe0.213 Ni0.106,155,10.1016/j.actamat.2019.03.010,,,,,,,,,849.0,,,,,,,,2019
Al1 Co0.395 Cr0.349 Fe0.326 Ni0.256,,,,,,,,,,,,,,,,,,,,
,Al1 Co0.395 Cr0.349 Fe0.326 Ni0.256,155,10.1016/j.actamat.2019.03.010,,,,,,,,,806.0,,,,,,,,2019
Al1 Co0.4 Cr0.4 Cu0.4 Fe0.4,,,,,,,,,,,,,,,,,,,,
,Al1 Co0.4 Cr0.4 Cu0.4 Fe0.4,20,10.3166/acsm.31.633-648,,FCC+BCC,,,,,5.6,,624.0,,25.0,,,,,144.0,2019
Al1 Co0.4 Cr0.4 Fe0.4 Ni0.4,,,,,,,,,,,,,,,,,,,,
,Al1 Co0.4 Cr0.4 Fe0.4 Ni0.4,4,10.1016/j.jallcom.2008.07.124,CAST,BCC,,,,,5.6,,487.0,,25.0,,,,,165.0,2008
Al1 Co0.404 Cr0.404 Cu0.106 Fe0.106 Ni0.106,,,,,,,,,,,,,,,,,,,,
,Al1 Co0.404 Cr0.404 Cu0.106 Fe0.106 Ni0.106,155,10.1016/j.actamat.2019.03.010,,,,,,,,,878.0,,,,,,,,2019
Al1 Co0.419 Cr0.465 Fe0.279 Ni0.163,,,,,,,,,,,,,,,,,,,,
,Al1 Co0.419 Cr0.465 Fe0.279 Ni0.163,155,10.1016/j.actamat.2019.03.010,,,,,,,,,864.0,,,,,,,,2019
Al1 Co0.419 Cr0.558 Fe0.233 Ni0.116,,,,,,,,,,,,,,,,,,,,
,Al1 Co0.419 Cr0.558 Fe0.233 Ni0.116,155,10.1016/j.actamat.2019.03.010,,,,,,,,,856.0,,,,,,,,2019
Al1 Co0.426 Cr0.383 Cu0.106 Fe0.106 Ni0.106,,,,,,,,,,,,,,,,,,,,
,Al1 Co0.426 Cr0.383 Cu0.106 Fe0.106 Ni0.106,155,10.1016/j.actamat.2019.03.010,,,,,,,,,883.0,,,,,,,,2019
Al1 Co0.435 Cr0.435 Cu0.435 Fe0.435,,,,,,,,,,,,,,,,,,,,
,Al1 Co0.435 Cr0.435 Cu0.435 Fe0.435,20,10.3166/acsm.31.633-648,,FCC+BCC,,,,,5.7,,603.0,,25.0,,,,,147.0,2019
Al1 Co0.442 Cr0.442 Fe0.256 Ni0.186,,,,,,,,,,,,,,,,,,,,
,Al1 Co0.442 Cr0.442 Fe0.256 Ni0.186,155,10.1016/j.actamat.2019.03.010,,,,,,,,,855.0,,,,,,,,2019
Al1 Co0.442 Cr0.558 Fe0.186 Ni0.14,,,,,,,,,,,,,,,,,,,,
,Al1 Co0.442 Cr0.558 Fe0.186 Ni0.14,155,10.1016/j.actamat.2019.03.010,,,,,,,,,855.0,,,,,,,,2019
Al1 Co0.457 Cr0.391 Cu0.109 Fe0.109 Ni0.109,,,,,,,,,,,,,,,,,,,,
,Al1 Co0.457 Cr0.391 Cu0.109 Fe0.109 Ni0.109,155,10.1016/j.actamat.2019.03.010,,,,,,,,,840.0,,,,,,,,2019
Al1 Co0.465 Cr0.442 Fe0.209 Ni0.209,,,,,,,,,,,,,,,,,,,,
,Al1 Co0.465 Cr0.442 Fe0.209 Ni0.209,155,10.1016/j.actamat.2019.03.010,,,,,,,,,816.0,,,,,,,,2019
Al1 Co0.465 Cr0.488 Fe0.209 Ni0.163,,,,,,,,,,,,,,,,,,,,
,Al1 Co0.465 Cr0.488 Fe0.209 Ni0.163,155,10.1016/j.actamat.2019.03.010,,,,,,,,,828.0,,,,,,,,2019
Al1 Co0.465 Cr0.512 Fe0.186 Ni0.163,,,,,,,,,,,,,,,,,,,,
,Al1 Co0.465 Cr0.512 Fe0.186 Ni0.163,155,10.1016/j.actamat.2019.03.010,,,,,,,,,857.0,,,,,,,,2019
Al1 Co0.5 Cr0.5 Cu0.5 Fe0.5,,,,,,,,,,,,,,,,,,,,
,Al1 Co0.5 Cr0.5 Cu0.5 Fe0.5,20,10.3166/acsm.31.633-648,,FCC+BCC,,,,,5.9,,567.0,,25.0,,,,,152.0,2019
Al1 Co0.5 Cr0.5 Cu0.5 Fe0.5 Ni0.5,,,,,,,,,,,,,,,,,,,,
,Al1 Co0.5 Cr0.5 Cu0.5 Fe0.5 Ni0.5,64,10.1007/s11661-005-0218-9,CAST,BCC,,,,,6.7,,,C,1000.0,116.0,,,,,2005
,Al1 Co0.5 Cr0.5 Cu0.5 Fe0.5 Ni0.5,64,10.1007/s11661-005-0218-9,CAST,BCC,,,,,6.7,,,C,1100.0,79.0,,,,,2005
,Al1 Co0.5 Cr0.5 Cu0.5 Fe0.5 Ni0.5,64,10.1007/s11661-005-0218-9,CAST,BCC,,,,,6.7,,,C,25.0,1620.0,,,,,2005
,Al1 Co0.5 Cr0.5 Cu0.5 Fe0.5 Ni0.5,64,10.1007/s11661-005-0218-9,CAST,BCC,,,,,6.7,,,C,600.0,805.0,,,,,2005
,Al1 Co0.5 Cr0.5 Cu0.5 Fe0.5 Ni0.5,64,10.1007/s11661-005-0218-9,CAST,BCC,,,,,6.7,,,C,500.0,1120.0,,,,,2005
,Al1 Co0.5 Cr0.5 Cu0.5 Fe0.5 Ni0.5,64,10.1007/s11661-005-0218-9,CAST,BCC,,,,,6.7,,,C,700.0,567.0,,,,,2005
,Al1 Co0.5 Cr0.5 Cu0.5 Fe0.5 Ni0.5,64,10.1007/s11661-005-0218-9,CAST,BCC,,,,,6.7,,,C,900.0,214.0,,,,,2005
,Al1 Co0.5 Cr0.5 Cu0.5 Fe0.5 Ni0.5,64,10.1007/s11661-005-0218-9,CAST,BCC,,,,,6.7,,,C,800.0,302.0,,,,,2005
,Al1 Co0.5 Cr0.5 Cu0.5 Fe0.5 Ni0.5,147,10.1016/j.vacuum.2018.12.009,CAST,,,,,,,,77.5,,,,,,,,2018
Al1 Co0.5 Cr0.5 Fe0.5 Mo0.25 Ni0.5,,,,,,,,,,,,,,,,,,,,
,Al1 Co0.5 Cr0.5 Fe0.5 Mo0.25 Ni0.5,63,10.1007/s11837-013-0753-6,CAST,,,,,,6.3,,605.0,,25.0,,,,,185.0,2013
Al1 Co0.5 Cr0.5 Fe0.5 Ni0.5,,,,,,,,,,,,,,,,,,,,
,Al1 Co0.5 Cr0.5 Fe0.5 Ni0.5,54,10.1016/j.jallcom.2009.08.090,ANNEAL,BCC,,,,,5.9,,509.0,,25.0,,,,,173.0,2009
,Al1 Co0.5 Cr0.5 Fe0.5 Ni0.5,54,10.1016/j.jallcom.2009.08.090,ANNEAL,BCC,,,,,5.9,,512.0,,25.0,,,,,173.0,2009
,Al1 Co0.5 Cr0.5 Fe0.5 Ni0.5,4,10.1016/j.jallcom.2008.07.124,CAST,BCC,,,,,5.9,,432.0,,25.0,,,,,173.0,2008
,Al1 Co0.5 Cr0.5 Fe0.5 Ni0.5,181,10.1016/j.jallcom.2019.07.100,CAST,,,,,80.67,,,581.7,C,25.0,1241.0,,9.98,,,2019
,Al1 Co0.5 Cr0.5 Fe0.5 Ni0.5,208,10.1016/j.msea.2019.05.056,,BCC,,,,,,,733.0,,,,,,,,2019
Al1 Co0.5 Cr0.5 Fe0.5 Ni0.5 Ti0.5,,,,,,,,,,,,,,,,,,,,
,Al1 Co0.5 Cr0.5 Fe0.5 Ni0.5 Ti0.5,66,10.1016/j.msea.2008.12.053,CAST,,,,,,5.6,,643.0,C,25.0,,1030.0,,5.0,94.0,2008
Al1 Co0.5 Cr1 Fe0.147 Ni0.294,,,,,,,,,,,,,,,,,,,,
,Al1 Co0.5 Cr1 Fe0.147 Ni0.294,155,10.1016/j.actamat.2019.03.010,,,,,,,,,699.0,,,,,,,,2019
Al1 Co0.5 Cr1 Fe1 Mo0.5 Ni1,,,,,,,,,,,,,,,,,,,,
,Al1 Co0.5 Cr1 Fe1 Mo0.5 Ni1,9,10.1002/adem.200900171,CAST,BCC+Sec.,,,,,7.0,,801.0,,25.0,,,,,,2010
Al1 Co0.5 Cr1 Fe1 Ni1,,,,,,,,,,,,,,,,,,,,
,Al1 Co0.5 Cr1 Fe1 Ni1,181,10.1016/j.jallcom.2019.07.100,,,,,,,,,,C,25.0,1349.0,,20.0,,,2019
Al1 Co0.512 Cr0.512 Fe0.186 Ni0.116,,,,,,,,,,,,,,,,,,,,
,Al1 Co0.512 Cr0.512 Fe0.186 Ni0.116,155,10.1016/j.actamat.2019.03.010,,,,,,,,,882.0,,,,,,,,2019
Al1 Co0.512 Cr0.535 Fe0.163 Ni0.116,,,,,,,,,,,,,,,,,,,,
,Al1 Co0.512 Cr0.535 Fe0.163 Ni0.116,155,10.1016/j.actamat.2019.03.010,,,,,,,,,883.0,,,,,,,,2019
Al1 Co0.512 Cr0.581 Fe0.116 Ni0.116,,,,,,,,,,,,,,,,,,,,
,Al1 Co0.512 Cr0.581 Fe0.116 Ni0.116,155,10.1016/j.actamat.2019.03.010,,,,,,,,,848.0,,,,,,,,2019
Al1 Co0.535 Cr0.488 Fe0.186 Ni0.116,,,,,,,,,,,,,,,,,,,,
,Al1 Co0.535 Cr0.488 Fe0.186 Ni0.116,155,10.1016/j.actamat.2019.03.010,,,,,,,,,863.0,,,,,,,,2019
Al1 Co0.556 Cr0.556 Cu0.556 Fe0.556,,,,,,,,,,,,,,,,,,,,
,Al1 Co0.556 Cr0.556 Cu0.556 Fe0.556,20,10.3166/acsm.31.633-648,,FCC+BCC,,,,,6.0,,557.0,,25.0,,,,,155.0,2019
Al1 Co0.556 Cr0.556 Fe0.556 Ni0.556 Ti0.111,,,,,,,,,,,,,,,,,,,,
,Al1 Co0.556 Cr0.556 Fe0.556 Ni0.556 Ti0.111,181,10.1016/j.jallcom.2019.07.100,CAST,,,,,66.93,,,605.5,C,25.0,1324.0,,10.02,,,2019
Al1 Co0.558 Cr0.512 Fe0.116 Ni0.14,,,,,,,,,,,,,,,,,,,,
,Al1 Co0.558 Cr0.512 Fe0.116 Ni0.14,155,10.1016/j.actamat.2019.03.010,,,,,,,,,875.0,,,,,,,,2019
Al1 Co0.558 Cr0.535 Fe0.116 Ni0.116,,,,,,,,,,,,,,,,,,,,
,Al1 Co0.558 Cr0.535 Fe0.116 Ni0.116,155,10.1016/j.actamat.2019.03.010,,,,,,,,,868.0,,,,,,,,2019
,Al1 Co0.558 Cr0.535 Fe0.116 Ni0.116,155,10.1016/j.actamat.2019.03.010,,,,,,,,,868.0,,,,,,,,2019
Al1 Co0.581 Cr0.512 Fe0.116 Ni0.116,,,,,,,,,,,,,,,,,,,,
,Al1 Co0.581 Cr0.512 Fe0.116 Ni0.116,155,10.1016/j.actamat.2019.03.010,,,,,,,,,865.0,,,,,,,,2019
,Al1 Co0.581 Cr0.512 Fe0.116 Ni0.116,155,10.1016/j.actamat.2019.03.010,,,,,,,,,865.0,,,,,,,,2019
Al1 Co0.667 Cr0.667 Cu0.667 Fe0.667,,,,,,,,,,,,,,,,,,,,
,Al1 Co0.667 Cr0.667 Cu0.667 Fe0.667,20,10.3166/acsm.31.633-648,,FCC+BCC,,,,,6.3,,510.0,,25.0,,,,,167.0,2019
Al1 Co0.667 Cr0.667 Cu0.667 Fe0.667 Ni0.667,,,,,,,,,,,,,,,,,,,,
,Al1 Co0.667 Cr0.667 Cu0.667 Fe0.667 Ni0.667,147,10.1016/j.vacuum.2018.12.009,CAST,,,,,,,,75.1,,,,,,,,2018
Al1 Co0.667 Cr0.667 Fe0.667 Mo0.333 Ni0.667,,,,,,,,,,,,,,,,,,,,
,Al1 Co0.667 Cr0.667 Fe0.667 Mo0.333 Ni0.667,63,10.1007/s11837-013-0753-6,CAST,B2+Sec.,,,,,6.6,,655.0,,25.0,,,,,,2013
Al1 Co0.667 Cr0.667 Fe0.667 Ni0.667,,,,,,,,,,,,,,,,,,,,
