Alloy composition,FORMULA,IDENTIFIER: Reference ID,REFERENCE: doi,PROPERTY: Processing method,PROPERTY: Microstructure,PROPERTY: O content (wppm),PROPERTY: N content (wppm),PROPERTY: C content (wppm),PROPERTY: grain size ($\mu$m),PROPERTY: ROM Density (g/cm$^3$),PROPERTY: Exp. Density (g/cm$^3$),PROPERTY: HV,PROPERTY: Type of test,PROPERTY: Test temperature ($^\circ$C),PROPERTY: YS (MPa),PROPERTY: UTS (MPa),PROPERTY: Elongation (%),PROPERTY: Elongation plastic (%),PROPERTY: Young modulus (GPa),REFERENCE: year
Al0.15 Cr0.5 Cu0.25 Fe0.5 Ni1,,,,,,,,,,,,,,,,,,,,
,Al0.15 Cr0.5 Cu0.25 Fe0.5 Ni1,187,10.1016/j.matchar.2019.109792,WROUGHT,FCC,,,,,,,107.0,T,62.0,169.0,,98.0,,16.6,2019
,Al0.15 Cr0.5 Cu0.25 Fe0.5 Ni1,187,10.1016/j.matchar.2019.109792,WROUGHT,,,,,,,,209.0,T,350.0,642.0,,73.0,,47.0,2019
,Al0.15 Cr0.5 Cu0.25 Fe0.5 Ni1,187,10.1016/j.matchar.2019.109792,WROUGHT,,,,,,,,321.0,T,535.0,904.0,,39.0,,35.2,2019
,Al0.15 Cr0.5 Cu0.25 Fe0.5 Ni1,187,10.1016/j.matchar.2019.109792,WROUGHT,,,,,,,,159.0,T,255.0,584.0,,88.0,,51.4,2019
Al0.15 Cr0.5 Fe1 Mn0.625 Ni0.375,,,,,,,,,,,,,,,,,,,,
,Al0.15 Cr0.5 Fe1 Mn0.625 Ni0.375,149,10.1016/j.jallcom.2018.08.093,CAST,,,,,,,,,C,25.0,550.0,,,,,2018
,Al0.15 Cr0.5 Fe1 Mn0.625 Ni0.375,149,10.1016/j.jallcom.2018.08.093,CAST,,,,,,,,,C,400.0,469.0,,,,,2018
,Al0.15 Cr0.5 Fe1 Mn0.625 Ni0.375,149,10.1016/j.jallcom.2018.08.093,CAST,,,,,,,,,C,600.0,272.0,,,,,2018
Al0.167 Co1 Cr1 Fe1 Ni1 Ti0.083,,,,,,,,,,,,,,,,,,,,
,Al0.167 Co1 Cr1 Fe1 Ni1 Ti0.083,159,10.1016/j.matchar.2018.06.036,ANNEAL,FCC,,,,289.7,,,,T,25.0,210.0,503.0,70.0,,,2018
,Al0.167 Co1 Cr1 Fe1 Ni1 Ti0.083,159,10.1016/j.matchar.2018.06.036,WROUGHT,,,,,15.7,,,,T,25.0,645.0,1094.0,39.0,,,2018
,Al0.167 Co1 Cr1 Fe1 Ni1 Ti0.083,159,10.1016/j.matchar.2018.06.036,WROUGHT,,,,,2.8,,,,T,25.0,1005.0,1273.0,17.0,,,2018
Al0.186 Cr0.149 Fe1 Mn0.861 Ni0.28,,,,,,,,,,,,,,,,,,,,
,Al0.186 Cr0.149 Fe1 Mn0.861 Ni0.28,113,10.1016/j.msea.2019.01.083,CAST,,,,,,,,,T,25.0,159.0,535.0,,40.8,,2019
,Al0.186 Cr0.149 Fe1 Mn0.861 Ni0.28,113,10.1016/j.msea.2019.01.083,ANNEAL,,,,,,,,,T,25.0,409.0,584.0,,10.5,,2019
,Al0.186 Cr0.149 Fe1 Mn0.861 Ni0.28,113,10.1016/j.msea.2019.01.083,CAST,,,,,,,,,T,25.0,355.0,1174.0,,49.5,,2019
,Al0.186 Cr0.149 Fe1 Mn0.861 Ni0.28,113,10.1016/j.msea.2019.01.083,ANNEAL,,,,,,,,,T,25.0,954.0,978.0,,2.0,,2019
Al0.2 Co1 Cr1 Fe1 Mn1 Ni1,,,,,,,,,,,,,,,,,,,,
,Al0.2 Co1 Cr1 Fe1 Mn1 Ni1,16,10.1016/j.actamat.2013.09.037,CAST,FCC,,,,,7.7,,171.0,T,25.0,220.0,,56.0,,214.0,2013
Al0.2 Cr0.5 Cu0.5 Fe0.5 Ni1,,,,,,,,,,,,,,,,,,,,
,Al0.2 Cr0.5 Cu0.5 Fe0.5 Ni1,33,10.1063/1.3587228,,FCC,,,,,7.8,,,,25.0,,,,,194.0,2011
Al0.2 Cr0.667 Fe1 Mn0.667 Ni0.333,,,,,,,,,,,,,,,,,,,,
,Al0.2 Cr0.667 Fe1 Mn0.667 Ni0.333,18,10.1016/j.msea.2010.05.052,CAST,FCC+BCC,,,,,7.2,,297.0,,25.0,,,,,213.0,2010
Al0.2 Mo1 Ta1 Ti1 V1,,,,,,,,,,,,,,,,,,,,
,Al0.2 Mo1 Ta1 Ti1 V1,88,10.4028/www.scientific.net/MSF.898.638,CAST,BCC,,,,,9.2,,,C,25.0,1021.0,1249.0,,,184.0,2017
Al0.214 Nb0.714 Ta0.571 Ti1 V0.143 Zr0.929,,,,,,,,,,,,,,,,,,,,
,Al0.214 Nb0.714 Ta0.571 Ti1 V0.143 Zr0.929,39,10.1007/s11837-014-1066-0,OTHER,BCC,,,,180.0,7.7,,500.0,C,25.0,1965.0,2061.0,5.0,,110.0,2014
,Al0.214 Nb0.714 Ta0.571 Ti1 V0.143 Zr0.929,39,10.1007/s11837-014-1066-0,OTHER,BCC,,,,180.0,7.8,,,C,25.0,1965.0,2061.0,5.0,,,2014
