IDENTIFIER: Reference ID,REFERENCE: doi
57,10.1016/j.intermet.2011.01.004
58,10.1016/j.matdes.2015.06.072
59,10.1007/s11837-012-0366-5
6,10.1016/j.jallcom.2010.10.047
60,10.1016/j.jallcom.2015.07.185
61,10.1016/j.msea.2006.11.049
62,10.1016/j.jallcom.2015.07.285
63,10.1007/s11837-013-0753-6
64,10.1007/s11661-005-0218-9
65,10.1016/j.jallcom.2015.11.050
66,10.1016/j.msea.2008.12.053
67,10.1007/s11661-017-4386-1
68,10.1016/j.msea.2017.08.019
69,10.1007/s11665-017-2799-z
7,10.1016/j.msea.2010.07.028
70,10.1016/j.ijrmhm.2014.07.009
71,10.1016/j.matchemphys.2017.06.054
72,10.1080/14786435.2015.1028506
73,10.1016/j.jallcom.2015.11.091
74,10.1016/j.msea.2017.10.073
75,10.1016/j.matlet.2016.03.133
76,10.1016/j.jallcom.2016.10.014
77,10.1080/21663831.2016.1221861
78,10.1016/j.matdes.2017.11.033
79,10.4028/www.scientific.net/MSF.849.76
8,10.1016/j.msea.2011.10.110
80,10.1016/j.actamat.2017.09.035
81,10.1016/j.jallcom.2015.07.209
82,10.1016/j.matlet.2016.08.060
83,10.1016/jactamat.2017.09.062
84,10.1016/j.jallcom.2011.02.171
85,10.1016/j.msea.2015.08.024
86,10.1016/j.matchar.2015.11.018
87,10.1016/j.msea.2015.12.017
88,10.4028/www.scientific.net/MSF.898.638
89,10.1016/j.actamat.2016.01.018
9,10.1002/adem.200900171
90,10.1002/adma.201701678
91,10.1016/j.msea.2017.12.004
92,10.1016/j.jallcom.2016.11.188
93,10.1016/j.intermet.2017.01.007
94,10.1016/j.msec.2016.12.057
95,10.1016/j.scriptamat.2016.10.028
96,10.1016/j.msea.2017.12.021
97,10.1016/j.msea.2016.07.102
98,10.1016/j.matlet.2016.11.030
99,10.1016/j.jallcom.2015.08.224
